name,symptoms,instructions,effects,side_effects,ingredients,image_path
미보 연고,화상,1일 2-3회 상처부위에 얇게 바르기,1~2도 화상의 경우 히알루론산의 생합성을 촉진하고 수분을 유지해 빠르게 화상 입은 피부가 피부가 회복하도록 돕고 통증을 완화,드물게 물집;충혈;붉어짐;붓기,베타시토스테롤,"C:\Users\bbmk3\OneDrive\바탕 화면\컴사 프로젝트 상비약 사진\미보.png"
비아핀,화상,1도 화상과 방사선 치료로 생긴 홍반은 1일 2-4회 연고를 듬뿍 바른 후 모두 스며들 때까지 마사지;2도 화상의 경우 항상 화상부위에 연고가 남아 있도록 반복해 바르거나 필요시 0.5cm 두께로 바르고 드레싱해 건조해지지 않도록 지속적으로 유지,대식세포를 상처 부위로 모아 상처 치료 및 조직의 생성을 촉진,출혈성 감염성 피부 상처 부위에 사용 불가,트롤아민,"C:\Users\bbmk3\OneDrive\바탕 화면\컴사 프로젝트 상비약 사진\비아핀.png"
바스포 연고,화상,상처부위를 깨끗이 하고 1일 1~3회 적당량을 상처부위에 바르기,화상의 감염 예방,발진;신장장애;난청,네오마이신;바시트라신;폴리믹신B,"C:\Users\bbmk3\OneDrive\바탕 화면\컴사 프로젝트 상비약 사진\바스포.png"
리안 점안액,인공눈물,1일 2~4회; 1회 2~3방울 점안;점안 후 남은 액과 용기는 폐기 처분,영양부족으로 인한 각막;결막의 궤양성 질환에 영양공급 또는 콘택트렌즈 착용 등으로 인한 각막;결막의 미세손상에 대한 효과,눈의 자극;일시적인 시력 저하,PDRN;에데트산나트륨수화물;인산수소나트륨수화물,"C:\Users\bbmk3\OneDrive\바탕 화면\컴사 프로젝트 상비약 사진\리안.png"
프렌즈 아이드롭,인공눈물,하루에 3회;한 번에 1방울씩 점안,안구건조증 치료,눈의 자극;일시적인 시력 저하,포도당;염화칼륨;염화나트륨,"C:\Users\bbmk3\OneDrive\바탕 화면\컴사 프로젝트 상비약 사진\프렌즈 아이드롭.png"
오큐시스 점안액,인공눈물,필요 시 각각의 눈에 1회 1방울 1일 수회 점안;점안 후 남은 액과 용기는 폐기 처분,눈의 건조나 피로 회복,눈이 따가워지거나 가려워지는 등의 불쾌감,PDRN;히알루론산,"C:\Users\bbmk3\OneDrive\바탕 화면\컴사 프로젝트 상비약 사진\오큐시스.png"
바클란,근육통,1회 5mg 1일 3회 경구투여하고 3일간격으로 증량,다발성 경화증;척추소뇌변성증으로 인한 골격근의 경직;척수질환으로 인한 경직 등을 완화,구역;무기력;졸음;어지러움,바클로펜,"C:\Users\bbmk3\OneDrive\바탕 화면\컴사 프로젝트 상비약 사진\바클란.png"
리렉스담정,근육통,1회 200~400mg; 1일 3~4회 경구투여,근골격계 질환에 수반하는 동통(통증)성 연축(수축과 이완)을 완화,발진;가려움;두드러기;졸음;어지러움,클로르족사존,"C:\Users\bbmk3\OneDrive\바탕 화면\컴사 프로젝트 상비약 사진\리렉스담정.png"
셀라펜,근육통,1회 2정;1일 4회 복용,신경통;근육통;관절통;요(허리)통;염좌(삠)통;견통(어깨결림);근경련(근육경련);근경직 등 근육의 이상 긴장을 수반하는 제질환(여러 질환)완화,두드러기;발적;가려움증;간기능 이상;위장장애,클로르족사존;아세트아미노펜,"C:\Users\bbmk3\OneDrive\바탕 화면\컴사 프로젝트 상비약 사진\셀라펜.png"
낙센,통증,1회 250~500㎎ 1일 2회 복용,골격근 장애;급성 통풍;편두통;수술 후 또는 발치 후 통증 완화,가려움;피부 발진;위통;복통;속쓰림;부종;이명,나프록센,"C:\Users\bbmk3\OneDrive\바탕 화면\컴사 프로젝트 상비약 사진\낙센.png"
바로닉신,통증,1일 3회 1~2정 복용,근육통;신경통;외상후 및 수술후 통증;두통;치통;귀통증 완화,구역;구토;설사;변비;위장출혈,클로닉신 리시네이트,"C:\Users\bbmk3\OneDrive\바탕 화면\컴사 프로젝트 상비약 사진\바로닉신.png"
덱시부펜,통증,1회 300mg 1일 2~4회 복용,만성 다발성 관절염;류마티스관절염;염증;통증 및 발열 완화,여러 부종과 설사;구토;복통;소화불량 등 소화기계 이상반응,덱시부프로펜,"C:\Users\bbmk3\OneDrive\바탕 화면\컴사 프로젝트 상비약 사진\덱시부펜.png"


